Wavelength,Flux
1318.49, 1.11566
1318.58, 1.18258
1318.68, 1.20558
1318.78, 1.15089
1318.88, 0.955757
1318.98, 1.02832
1319.07, 1.13241
1319.17, 1.10494
1319.27, 1.06575
1319.37, 1.13314
1319.46, 1.09728
1319.56, 1.06508
1319.66, 1.08919
1319.76, 1.08303
1319.86, 1.06202
1319.95, 1.03250
1320.05, 1.03417
1320.15, 1.10614
1320.25, 1.03501
1320.35, 1.08017
1320.44, 1.13128
1320.54, 1.10562
1320.64, 1.05385
1320.74, 1.09659
1320.83, 1.07271
1320.93, 1.10628
1321.03, 1.00334
1321.13, 1.07736
1321.23, 1.14903
1321.32, 1.26845
1321.42, 1.22576
1321.52, 1.16716
1321.62, 1.11372
1321.71, 1.10688
1321.81, 1.05884
1321.91, 1.02502
1322.01, 1.07175
1322.11, 0.995896
1322.20, 1.11628
1322.30, 1.10779
1322.40, 0.937098
1322.50, 1.07246
1322.59, 1.20443
1322.69, 1.07957
1322.79, 1.02528
1322.89, 0.992891
1322.99, 1.02433
1323.08, 1.05301
1323.18, 0.928628
1323.28, 1.02046
1323.38, 0.963979
1323.47, 0.946963
1323.57, 0.904598
1323.67, 0.941263
1323.77, 0.848057
1323.87, 0.890331
1323.96, 0.834041
1324.06, 0.820983
1324.16, 0.953538
1324.26, 0.868619
1324.35, 0.847917
1324.45, 1.01673
1324.55, 1.04686
1324.65, 0.963722
1324.75, 1.01381
1324.84, 0.968054
1324.94, 1.00047
1325.04, 1.01187
1325.14, 1.08203
1325.23, 1.06399
1325.33, 0.969215
1325.43, 1.04800
1325.53, 1.03158
1325.63, 1.11080
1325.72, 1.10844
1325.82, 1.00580
1325.92, 1.08067
1326.02, 1.04195
1326.11, 1.07045
1326.21, 1.03648
1326.31, 1.09087
1326.41, 1.07220
1326.51, 1.10300
1326.60, 1.02041
1326.70, 1.11767
1326.80, 0.983250
1326.90, 1.07169
1326.99, 1.00085
1327.09, 0.975157
1327.19, 1.03500
1327.29, 1.05417
1327.39, 1.03429
1327.48, 1.06324
1327.58, 0.962503
1327.68, 1.05217
1327.78, 1.04624
1327.87, 1.04391
1327.97, 0.959014
1328.07, 0.904217
1328.17, 0.902620
1328.27, 0.929642
1328.36, 0.934791
1328.46, 0.914043
1328.56, 0.891000
1328.66, 0.892392
1328.75, 0.948123
1328.85, 0.941896
1328.95, 0.996558
1329.05, 0.942576
1329.15, 0.994442
1329.24, 0.948069
1329.34, 0.969688
1329.44, 1.14111
1329.54, 1.05123
1329.64, 1.06382
1329.73, 1.07156
1329.83, 0.908396
1329.93, 1.06555
1330.03, 0.951990
1330.12, 0.975954
1330.22, 0.980263
1330.32, 1.06760
1330.42, 1.07964
1330.52, 0.929647
1330.61, 1.01625
1330.71, 0.967747
1330.81, 1.06689
1330.91, 1.06303
1331.00, 1.07553
1331.10, 1.25740
1331.20, 1.13621
1331.30, 1.03794
1331.40, 1.02765
1331.49, 1.10342
1331.59, 1.18121
1331.69, 1.12240
1331.79, 0.992419
1331.88, 0.965731
1331.98, 0.953461
1332.08, 0.964600
1332.18, 0.940779
1332.28, 0.904745
1332.37, 0.821156
1332.47, 0.736850
1332.57, 0.683893
1332.67, 0.548024
1332.76, 0.381075
1332.86, 0.235151
1332.96, 0.152090
1333.06, 0.124869
1333.16, 0.0666951
1333.25, 0.110818
1333.35, 0.0391407
1333.45, 0.162857
1333.55, 0.0830601
1333.64, 0.0946580
1333.74, 0.116386
1333.84, 0.0423473
1333.94, 0.0418852
1334.04, 0.0577980
1334.13, 0.112051
1334.23, 0.00614896
1334.33, 0.0872979
1334.43, 0.0858411
1334.52, 0.325885
1334.62, 0.238444
1334.72, 0.369264
1334.82, 0.325571
1334.92, 0.384303
1335.01, 0.453662
1335.11, 0.354419
1335.21, 0.310961
1335.31, 0.435558
1335.40, 0.532025
1335.50, 0.574490
1335.60, 0.613707
1335.70, 0.821793
1335.80, 0.904773
1335.89, 1.01238
1335.99, 1.23232
1336.09, 1.17160
1336.19, 1.19372
1336.28, 1.01228
1336.38, 0.973273
1336.48, 1.07169
1336.58, 1.03528
1336.68, 0.918711
1336.77, 0.978305
1336.87, 1.02969
1336.97, 1.02475
1337.07, 1.01662
1337.16, 1.05473
1337.26, 1.01607
1337.36, 1.03590
1337.46, 0.996270
1337.56, 1.12418
1337.65, 1.01660
1337.75, 0.901618
1337.85, 0.946292
1337.95, 1.02454
1338.04, 1.06797
1338.14, 1.14564
1338.24, 1.07134
1338.34, 1.20088
1338.44, 1.19229
1338.53, 1.29894
1338.63, 1.28151
1338.73, 1.26562
1338.83, 1.08438
1338.93, 1.12383
1339.02, 1.03250
1339.12, 1.08749
1339.22, 0.990065
1339.32, 1.06940
1339.41, 1.13670
1339.51, 1.12374
1339.61, 1.07186
1339.71, 1.04113
1339.81, 1.00267
1339.90, 1.04248
1340.00, 1.06415
1340.10, 1.22516
1340.20, 1.14218
1340.29, 1.13842
1340.39, 1.00312
1340.49, 1.05603
1340.59, 1.08799
1340.69, 1.06695
1340.78, 1.13724
1340.88, 1.02108
1340.98, 1.09777
1341.08, 1.05340
1341.17, 0.964873
1341.27, 1.01663
1341.37, 0.895931
1341.47, 0.953327
1341.57, 0.963651
1341.66, 0.996918
1341.76, 0.954414
1341.86, 0.958368
1341.96, 1.02163
1342.05, 1.04014
1342.15, 1.07339
1342.25, 1.06528
1342.35, 1.03314
1342.45, 1.01744
1342.54, 0.965402
1342.64, 1.06499
1342.74, 1.09511
1342.84, 1.09164
1342.93, 1.01845
1343.03, 1.11099
1343.13, 1.07025
1343.23, 1.10003
1343.33, 1.10951
1343.42, 1.19483
1343.52, 1.21803
1343.62, 0.943871
1343.72, 0.986438
1343.81, 1.03984
1343.91, 0.992101
1344.01, 0.888722
1344.11, 0.959560
1344.21, 0.939589
1344.30, 0.937004
1344.40, 1.00741
1344.50, 1.01722
1344.60, 0.964842
1344.69, 0.940993
1344.79, 0.947997
1344.89, 0.848864
1344.99, 0.984360
1345.09, 0.905833
1345.18, 1.04134
1345.28, 1.02602
1345.38, 1.09222
1345.48, 0.982212
1345.57, 1.02138
1345.67, 1.05445
1345.77, 0.959608
1345.87, 1.04295
1345.97, 0.971309
1346.06, 0.949319
1346.16, 1.00537
1346.26, 0.924543
1346.36, 0.835567
1346.45, 0.894613
1346.55, 0.954794
1346.65, 1.02616
1346.75, 1.03508
1346.85, 1.01327
1346.94, 0.958894
1347.04, 0.970922
1347.14, 1.00317
1347.24, 1.07015
1347.33, 1.07015
1347.43, 1.08688
1347.53, 1.08049
1347.63, 1.06977
1347.73, 1.07325
1347.82, 1.07939
1347.92, 1.08019
1348.02, 1.05841
1348.12, 1.00309
1348.21, 0.946846
1348.31, 1.07586
1348.41, 1.04491
1348.51, 1.04893
1348.61, 0.986050
1348.70, 1.00663
1348.80, 1.02990
1348.90, 1.00656
1349.00, 1.10119
1349.09, 1.08122
1349.19, 0.983502
1349.29, 1.03016
1349.39, 0.897397
1349.49, 0.872135
1349.58, 0.927992
1349.68, 0.915990
1349.78, 0.874292
1349.88, 0.929383
1349.98, 0.957901
1350.07, 0.958879
1350.17, 0.991142
1350.27, 1.11938
1350.37, 1.00716
1350.46, 0.905507
1350.56, 0.874205
1350.66, 0.923890
1350.76, 0.949075
1350.86, 0.974747
1350.95, 0.935512
1351.05, 0.988362
1351.15, 0.935651
1351.25, 0.939065
1351.34, 0.943723
